APN,ADDRESS_PO,AREA,ATTACHED_FLAG,DETACHED_FLAG,IMPROVEMEN,LESS_50K,SFHA_FLAG,FLOOD_FLAG,PUC_DESC,BLOCK,BOOK,LOT,SUBLOT,PARCEL_ID,PERIMETER,RETIRE_DAT,REV_DATE,TAXYEAR,LAND,FIXTURES,TOTAL_GROS,EXEM_HOMEO,NET_ASSESS,ASSESSMENT,TRA,PUC,SITUS_CITY,GEOMETRY_L,GEOMETRY_A,CENT_X,CENT_Y
62113100,1039 Alberni St,5917.81,1,,"$61,427.00 ",0,1,0,Single Family Residence,3,62,10,0,184522,330.46,,5/25/2007,2017,"$61,427 ",,"$122,854 ",,"$122,854 ",Annual,21019,1,East Palo Alto,340.3739324,6022.428317,-122.1502851,37.4738422
62113110,1043 Alberni St,5698.48,1,,"$27,734.00 ",1,1,1,Single Family Residence,3,62,11,0,184521,326.61,,5/25/2007,2017,"$194,173 ",,"$221,907 ",,"$221,907 ",Annual,21019,1,East Palo Alto,337.1014699,5826.045521,-122.1501175,37.47381883
62113120,1047 Alberni St,5938.41,1,,"$167,591.00 ",0,1,0,Single Family Residence,3,62,12,0,184520,330.91,,5/25/2007,2017,"$173,160 ",,"$340,751 ",,"$340,751 ",Annual,21019,1,East Palo Alto,344.9764849,6298.530673,-122.149946,37.47379492
62113130,1051 Alberni St,5152.44,,,"$197,245.00 ",0,1,0,Single Family Residence,3,62,13,0,184519,317.02,,5/25/2007,2017,"$50,628 ",,"$247,873 ","$7,000 ","$240,873 ",Annual,21019,1,East Palo Alto,335.5760368,5734.519264,-122.1497758,37.47377119
62113140,1055 Alberni St,5944.08,1,,"$26,099.00 ",1,1,1,Single Family Residence,3,62,14,0,184518,331.09,,5/25/2007,2017,"$9,453 ",,"$35,552 ",,"$35,552 ",Annual,21019,1,East Palo Alto,341.4961352,6089.539598,-122.1496087,37.47374732
93580010,,101466.55,,,,,,,Water Co.,0,93,1,0,18229,2682.2,,5/25/2007,2017,"$39,726 ",,"$39,726 ",,"$39,726 ",Annual,21019,81,,2682.195201,101466.5598,-122.1362374,37.48041429
62113150,2401 Menalto Ave,4997.86,,,"$45,850.00 ",1,1,1,Single Family Residence,3,62,15,0,184517,314.37,,5/25/2007,2017,"$9,453 ",,"$55,303 ",,"$55,303 ",Annual,21019,1,East Palo Alto,332.364413,5541.565034,-122.1494441,37.47372516
62114010,1269 Saratoga Ave,7013.93,1,,"$65,639.00 ",0,1,0,Single Family Residence,4,62,1,0,184516,365.53,,5/25/2007,2017,"$50,628 ",,"$116,267 ",,"$116,267 ",Annual,21019,1,East Palo Alto,359.9726229,6867.822666,-122.1533212,37.47379067
62114020,1233 Saratoga Ave,7162.11,1,,"$238,660.00 ",0,1,0,Single Family Residence,4,62,2,0,184515,351.99,,5/25/2007,2017,"$238,660 ",,"$477,320 ","$7,000 ","$470,320 ",Annual,21019,1,East Palo Alto,359.5922378,7255.557921,-122.1535309,37.47356889
62114030,1231 Saratoga Ave,2824.66,,,"$264,356.00 ",0,1,0,Single Family Residence,4,62,3,0,184514,269.87,,5/25/2007,2017,"$264,356 ",,"$528,712 ",,"$528,712 ",Annual,21019,1,East Palo Alto,286.7404444,3174.899703,-122.1536012,37.4734572
62114040,1227 Saratoga Ave,5454.58,,,"$81,923.00 ",0,1,0,Single Family Residence,4,62,4,0,184513,318.02,,5/25/2007,2017,"$9,452 ",,"$91,375 ","$7,000 ","$84,375 ",Annual,21019,1,East Palo Alto,332.0034204,5800.147155,-122.1536513,37.47335875
62114050,1217 Saratoga Ave,5557.22,1,,"$55,475.00 ",0,1,0,Single Family Residence,4,62,5,0,184512,319.78,,5/25/2007,2017,"$84,878 ",,"$140,353 ","$7,000 ","$133,353 ",Annual,21019,1,East Palo Alto,331.9824126,5798.941688,-122.1537159,37.47323144
62114060,1211 Saratoga Ave,5438.1,,,"$91,110.00 ",0,1,0,Single Family Residence,4,62,6,0,184511,317.52,,5/25/2007,2017,"$91,110 ",,"$182,220 ",,"$182,220 ",Annual,21019,1,East Palo Alto,332.1666668,5809.623887,-122.1537805,37.47310406
62114170,914 Alberni St,6660.37,1,,"$190,920.00 ",0,1,0,Single Family Residence,4,62,17,0,184508,359.7,,5/25/2007,2017,"$51,475 ",,"$242,395 ","$7,000 ","$235,395 ",Annual,21019,1,East Palo Alto,366.6950861,7288.3338,-122.1535209,37.47382188
62115010,1286 Saratoga Ave,7160.51,1,,"$303,261.00 ",0,1,0,Single Family Residence,5,62,1,0,184507,367.05,,5/25/2007,2017,"$303,261 ",,"$606,522 ","$7,000 ","$599,522 ",Annual,21019,1,East Palo Alto,370.0796569,7450.643465,-122.1529457,37.47373865
62115030,946 Alberni St,7285.66,1,,"$57,150.00 ",0,1,0,Single Family Residence,5,62,3,0,184505,369.02,,5/25/2007,2017,"$73,273 ",,"$130,423 ",,"$130,423 ",Annual,21019,1,East Palo Alto,361.8784888,6951.266089,-122.1526445,37.47369647
62115050,1269 Westminster Ave,7210.57,1,,"$29,514.00 ",1,1,1,Single Family Residence,5,62,5,0,184503,368.1,,5/25/2007,2017,"$9,453 ",,"$38,967 ",,"$38,967 ",Annual,21019,1,East Palo Alto,363.6330598,7056.480891,-122.1523454,37.47365466
62115060,1245 Westminster Ave,5784.86,1,,"$256,420.00 ",0,1,0,Single Family Residence,5,62,6,0,184502,334.14,,5/25/2007,2017,"$256,420 ",,"$512,840 ","$7,000 ","$505,840 ",Annual,21019,1,East Palo Alto,332.3511697,5668.110382,-122.1525426,37.47344629
62115070,1249 Westminster Ave,5951.96,1,,"$24,341.00 ",1,1,1,Single Family Residence,5,62,7,0,184501,333.78,,5/25/2007,2017,"$9,453 ",,"$33,794 ",,"$33,794 ",Annual,21019,1,East Palo Alto,332.9683571,5856.01872,-122.1526222,37.47332324
62115080,1225 Westminster Ave,2777.31,,,"$352,088.00 ",0,1,0,Single Family Residence,5,62,8,0,184500,278.06,,5/25/2007,2017,"$248,533 ",,"$600,621 ",,"$600,621 ",Annual,21019,1,East Palo Alto,284.8515787,3065.223399,-122.1526716,37.47322524
62115090,1227 Westminster Ave,5832.17,1,,"$50,000.00 ",0,1,0,Single Family Residence,5,62,9,0,184499,330.82,,5/25/2007,2017,"$578,000 ",,"$628,000 ",,"$628,000 ",Annual,21019,1,East Palo Alto,328.7484619,5611.116812,-122.1527216,37.47313057
62115100,1221 Westminster Ave,5859.35,1,,"$120,098.00 ",0,1,0,Single Family Residence,5,62,10,0,184498,330.71,,5/25/2007,2017,"$630,544 ",,"$750,642 ",,"$675,000 ",Annual,21019,1,East Palo Alto,334.5316266,5946.492591,-122.152784,37.47300312
62115110,1217 Westminster Ave,5335.26,,,"$77,665.00 ",0,1,0,Single Family Residence,5,62,11,0,184497,320.9,,5/25/2007,2017,"$414,222 ",,"$491,887 ","$7,000 ","$484,887 ",Annual,21019,1,East Palo Alto,326.8832528,5502.307076,-122.1528504,37.47287831
62115120,1215 Westminster Ave,2834.18,,,"$226,632.00 ",0,1,0,Single Family Residence,5,62,12,0,184496,276.2,,5/25/2007,2017,"$226,632 ",,"$453,264 ","$7,000 ","$446,264 ",Annual,21019,1,East Palo Alto,284.7909789,3061.188102,-122.1528944,37.47278315
62115140,945 Newbridge St,3466.9,,,"$94,813.00 ",0,1,0,Single Family Residence,5,62,14,0,184495,287.25,,5/25/2007,2017,"$94,813 ",,"$189,626 ",,"$189,626 ",Annual,21019,1,East Palo Alto,285.9014657,3304.493719,-122.1530313,37.47261939
62115180,1226 Saratoga Ave,5624.89,1,,"$104,890.00 ",0,1,0,Single Family Residence,5,62,18,0,184494,329.8,,5/25/2007,2017,"$104,890 ",,"$209,780 ","$7,000 ","$202,780 ",Annual,21019,1,East Palo Alto,331.3415253,5783.565331,-122.1532512,37.47293323
62115190,1236 Saratoga Ave,6201.83,1,,"$95,492.00 ",0,1,0,Single Family Residence,5,62,19,0,184493,339.5,,5/25/2007,2017,"$222,816 ",,"$318,308 ",,"$318,308 ",Annual,21019,1,East Palo Alto,332.1332137,5827.273723,-122.1531868,37.47306117
62115200,1238 Saratoga Ave,5905.2,1,,"$117,300.00 ",0,1,0,Single Family Residence,5,62,20,0,184492,334.21,,5/25/2007,2017,"$510,000 ",,"$627,300 ",,"$627,300 ",Annual,21019,1,East Palo Alto,330.7298017,5744.121996,-122.1531214,37.4731882
62115210,1240 Saratoga Ave,5450.7,,,"$155,598.00 ",0,1,0,Single Family Residence,5,62,21,0,184491,326.21,,5/25/2007,2017,"$155,598 ",,"$311,196 ",,"$311,196 ",Annual,21019,1,East Palo Alto,331.4382467,5783.390654,-122.1530576,37.47331517
62115220,1244 Saratoga Ave,8831.21,1,1,"$127,597.00 ",0,1,0,Single Family Residence,5,62,22,0,184490,386.8,,5/25/2007,2017,"$221,912 ",,"$349,509 ",,"$349,509 ",Annual,21019,1,East Palo Alto,383.0746543,8619.447054,-122.1529665,37.47347109
62115230,1216 Saratoga Ave,5207.61,,,"$52,364.00 ",0,1,0,Single Family Residence,5,62,23,0,184489,288.06,,5/25/2007,2017,"$35,112 ",,"$87,476 ","$7,000 ","$80,476 ",Annual,21019,1,East Palo Alto,287.475226,5162.568617,-122.1534294,37.47278613
62115250,1201 Westminster Ave,5795.07,1,,"$109,024.00 ",0,1,0,Single Family Residence,5,62,25,0,184487,321.62,,5/25/2007,2017,"$490,023 ",,"$599,047 ","$7,000 ","$592,047 ",Annual,21019,1,East Palo Alto,339.1342473,6530.07888,-122.1528938,37.47257465
62115260,941 Newbridge St,6012.63,1,,"$105,089.00 ",0,1,0,Single Family Residence,5,62,26,0,184486,332.26,,5/25/2007,2017,"$105,089 ",,"$210,178 ","$7,000 ","$203,178 ",Annual,21019,1,East Palo Alto,343.1991908,6588.64922,-122.1531698,37.47266483
63021010,2861 Fordham St,8246.93,,,"$173,701 ",,,,SFR converted to 2 units,1,63,1,0,183965,353.08,,5/25/2007,2017,"$173,701 ",,"$347,402 ","$5,600 ","$341,802 ",Annual,21031,92,East Palo Alto,359.9349806,8599.503317,-122.1347735,37.48202354
62116010,1016 Alberni St,5058.47,,,"$163,420.00 ",0,1,0,Single Family Residence,6,62,1,0,184485,290.2,,5/25/2007,2017,"$163,420 ",,"$326,840 ","$7,000 ","$319,840 ",Annual,21019,1,East Palo Alto,299.5093698,5306.234978,-122.1513768,37.473603
62116020,1257 Jervis Ave,4787.03,,,"$117,471.00 ",0,1,0,Single Family Residence,6,62,2,0,184484,284.63,,5/25/2007,2017,"$84,400 ",,"$201,871 ",,"$201,871 ",Annual,21019,1,East Palo Alto,298.5742362,5266.854077,-122.1514547,37.47344513
62116030,1251 Jervis Ave,6893.33,1,,"$27,448.00 ",1,1,1,Single Family Residence,6,62,3,0,184483,352.49,,5/25/2007,2017,"$9,453 ",,"$36,901 ","$7,000 ","$29,901 ",Annual,21019,1,East Palo Alto,354.1511995,6944.289618,-122.1515738,37.47329477
62116040,1249 Jervis Ave,5745.24,1,,"$45,898.00 ",1,1,1,Single Family Residence,6,62,4,0,184482,329.81,,5/25/2007,2017,"$34,420 ",,"$80,318 ",,"$80,318 ",Annual,21019,1,East Palo Alto,330.1079727,5703.679497,-122.1516576,37.47315871
62116050,1245 Jervis Ave,5452.54,,,"$134,640.00 ",0,1,0,Single Family Residence,6,62,5,0,184481,324.57,,5/25/2007,2017,"$510,000 ",,"$644,640 ",,"$644,640 ",Annual,21019,1,East Palo Alto,331.6833252,5792.506332,-122.1517217,37.47303234
62116060,1239 Jervis Ave,5732.93,1,,"$110,954.00 ",0,1,0,Single Family Residence,6,62,6,0,184480,329.32,,5/25/2007,2017,"$169,206 ",,"$280,160 ",,"$280,160 ",Annual,21019,1,East Palo Alto,331.7428678,5793.555337,-122.1517865,37.47290507
62116070,1235 Jervis Ave,5726.57,1,,"$229,115.00 ",0,1,0,Single Family Residence,6,62,7,0,184479,329.07,,5/25/2007,2017,"$229,115 ",,"$458,230 ","$7,000 ","$451,230 ",Annual,21019,1,East Palo Alto,331.8171855,5795.456484,-122.1518511,37.47277778
62116080,1219 Jervis Ave,5720.21,1,,"$272,573.00 ",0,1,0,Single Family Residence,6,62,8,0,184478,328.81,,5/25/2007,2017,"$272,573 ",,"$545,146 ",,"$545,146 ",Annual,21019,1,East Palo Alto,331.8901907,5797.251296,-122.1519158,37.47265049
62116090,1213 Jervis Ave,5713.85,1,,"$175,000.00 ",0,1,0,Single Family Residence,6,62,9,0,184477,328.56,,5/25/2007,2017,"$600,000 ",,"$775,000 ",,"$775,000 ",Annual,21019,1,East Palo Alto,331.9637248,5799.100536,-122.1519804,37.47252321
62116120,965 Newbridge St,6792.92,1,,"$122,606.00 ",0,1,0,Single Family Residence,6,62,12,0,184475,353.22,,5/25/2007,2017,"$122,606 ",,"$245,212 ","$7,000 ","$238,212 ",Annual,21019,1,East Palo Alto,354.8992055,6981.669984,-122.1522738,37.47236846
62116140,1210 Westminster Ave,5910.56,1,,"$90,017.00 ",0,1,0,Single Family Residence,6,62,14,0,184474,310.93,,5/25/2007,2017,"$50,628 ",,"$140,645 ",,"$140,645 ",Annual,21019,1,East Palo Alto,298.3914853,5414.491766,-122.1524695,37.47251468
62116150,1218 Westminster Ave,5846.15,1,,"$144,242.00 ",0,1,0,Single Family Residence,6,62,15,0,184473,333.85,,5/25/2007,2017,"$144,242 ",,"$288,484 ","$7,000 ","$281,484 ",Annual,21019,1,East Palo Alto,331.5811894,5789.52918,-122.1523506,37.47264264
62116160,1220 Westminster Ave,5822.08,1,,"$275,414.00 ",0,1,0,Single Family Residence,6,62,16,0,184472,332.89,,5/25/2007,2017,"$275,414 ",,"$550,828 ",,"$550,828 ",Annual,21019,1,East Palo Alto,331.4961029,5787.430509,-122.1522858,37.47276989
62116170,1226 Westminster Ave,5798.01,1,,"$343,175.00 ",0,1,0,Single Family Residence,6,62,17,0,184471,331.92,,5/25/2007,2017,"$343,175 ",,"$686,350 ","$7,000 ","$679,350 ",Annual,21019,1,East Palo Alto,331.4104898,5785.259926,-122.152221,37.47289713
62116180,1232 Westminster Ave,5773.93,1,,"$155,441.00 ",0,1,0,Single Family Residence,6,62,18,0,184470,330.96,,5/25/2007,2017,"$155,441 ",,"$310,882 ","$7,000 ","$303,882 ",Annual,21019,1,East Palo Alto,331.3235654,5783.086796,-122.1521562,37.47302438
62116190,1238 Westminster Ave,5440.31,,,"$145,352.00 ",0,1,0,Single Family Residence,6,62,19,0,184469,324.63,,5/25/2007,2017,"$221,912 ",,"$367,264 ",,"$367,264 ",Annual,21019,1,East Palo Alto,331.0305558,5768.981599,-122.1520915,37.47315148
62116200,1244 Westminster Ave,9686.16,1,1,"$313,488.00 ",0,1,0,Single Family Residence,6,62,20,0,184468,400.73,,5/25/2007,2017,"$122,340 ",,"$435,828 ",,"$435,828 ",Annual,21019,1,East Palo Alto,402.976769,9774.084425,-122.151995,37.47332048
63341600,983 Garden St,868.34,,,,,,,Vacant Land,1,63,600,,4012050,162.56,,8/21/2008,2017,"$32,812 ",,"$32,812 ",,"$32,812 ",Annual,21014,0,East Palo Alto,162.5616614,868.3490433,-122.1331058,37.46720615
62116210,1262 Westminster Ave,7539.04,1,1,"$96,464.00 ",0,1,0,Single Family Residence,6,62,21,0,184465,372.5,,5/25/2007,2017,"$42,865 ",,"$139,329 ","$7,000 ","$132,329 ",Annual,21019,1,East Palo Alto,367.4248817,7255.927883,-122.1519682,37.47360138
62116230,1008 Alberni St,6939.92,1,,"$141,141.00 ",0,1,0,Single Family Residence,6,62,23,0,184463,363.43,,5/25/2007,2017,"$50,628 ",,"$191,769 ",,"$191,769 ",Annual,21019,1,East Palo Alto,363.1221591,6993.953559,-122.1516619,37.47355881
62116240,1202 Westminster Ave,4704.86,,,"$76,516.00 ",0,1,0,Single Family Residence,6,62,24,0,184467,277.21,,5/25/2007,2017,"$34,420 ",,"$110,936 ",,"$110,936 ",Annual,21019,1,East Palo Alto,280.9760499,4830.772796,-122.1525463,37.47236427
62117010,1036 Alberni St,5585.89,1,,"$84,522.00 ",0,1,0,Single Family Residence,7,62,1,0,184462,306.54,,5/25/2007,2017,"$302,434 ",,"$386,956 ",,"$386,956 ",Annual,21019,1,East Palo Alto,300.433155,5360.058692,-122.1503974,37.47346483
62117020,1263 Laurel Ave,5317.24,,,"$235,057.00 ",0,1,0,Single Family Residence,7,62,2,0,184461,300.4,,5/25/2007,2017,"$235,057 ",,"$470,114 ",,"$470,114 ",Annual,21019,1,East Palo Alto,294.9016454,5122.718746,-122.1504753,37.4733071
62117030,1257 Laurel Ave,8239.21,1,1,"$90,634.00 ",0,1,0,Single Family Residence,7,62,3,0,184460,376.73,,5/25/2007,2017,"$59,570 ",,"$150,204 ","$7,000 ","$143,204 ",Annual,21019,1,East Palo Alto,374.3286008,8102.260528,-122.1506032,37.47314638
62117040,1251 Laurel Ave,5787.84,1,,"$281,759.00 ",0,1,0,Single Family Residence,7,62,4,0,184459,331.86,,5/25/2007,2017,"$281,759 ",,"$563,518 ","$7,000 ","$556,518 ",Annual,21019,1,East Palo Alto,331.76079,5786.113546,-122.1506921,37.47299659
62117050,1245 Laurel Ave,5946.35,1,,"$104,869.00 ",0,1,0,Single Family Residence,7,62,5,0,184458,334.53,,5/25/2007,2017,"$104,869 ",,"$209,738 ",,"$209,738 ",Annual,21019,1,East Palo Alto,332.2403283,5813.933336,-122.1507566,37.47286925
62117060,1239 Laurel Ave,5418.91,,,"$102,000.00 ",0,1,0,Single Family Residence,7,62,6,0,184457,325.44,,5/25/2007,2017,"$459,000 ",,"$561,000 ","$7,000 ","$554,000 ",Annual,21019,1,East Palo Alto,331.9063632,5794.562897,-122.1508212,37.47274184
62117070,1233 Laurel Ave,5721.77,1,,"$133,790.00 ",0,1,0,Single Family Residence,7,62,7,0,184456,330.65,,5/25/2007,2017,"$65,956 ",,"$199,746 ","$7,000 ","$192,746 ",Annual,21019,1,East Palo Alto,331.9499397,5797.100824,-122.1508858,37.47261464
62117080,1227 Laurel Ave,5800.04,1,,"$68,619.00 ",0,1,0,Single Family Residence,7,62,8,0,184455,332,,5/25/2007,2017,"$51,464 ",,"$120,083 ",,"$120,083 ",Annual,21019,1,East Palo Alto,332.001855,5800.064466,-122.1509504,37.47248737
62117130,1011 Newbridge St,6933.43,1,,"$112,870.00 ",0,1,0,Single Family Residence,7,62,13,0,184454,355.09,,5/25/2007,2017,"$52,489 ",,"$165,359 ",,"$165,359 ",Annual,21019,1,East Palo Alto,356.8333921,7080.315042,-122.1512788,37.47204688
62117140,1007 Newbridge St,6916.78,1,,"$84,928.00 ",0,1,0,Single Family Residence,7,62,14,0,184453,354.51,,5/25/2007,2017,"$84,928 ",,"$169,856 ",,"$169,856 ",Annual,21019,1,East Palo Alto,353.2209692,6872.291284,-122.1514667,37.47210678
62117160,1214 Jervis Ave,5800.04,1,,"$87,175.00 ",0,1,0,Single Family Residence,7,62,16,0,184452,332,,5/25/2007,2017,"$87,175 ",,"$174,350 ",,"$174,350 ",Annual,21019,1,East Palo Alto,332.2433627,5820.882528,-122.1514504,37.47235228
62117170,1220 Jervis Ave,5800.04,1,,"$27,769.00 ",1,1,1,Single Family Residence,7,62,17,0,184451,332,,5/25/2007,2017,"$9,453 ",,"$37,222 ",,"$37,222 ",Annual,21019,1,East Palo Alto,332.1939992,5811.230817,-122.1513853,37.47247983
62117180,1226 Jervis Ave,5800.04,1,,"$177,528.00 ",0,1,0,Single Family Residence,7,62,18,0,184450,332,,5/25/2007,2017,"$177,528 ",,"$355,056 ","$7,000 ","$348,056 ",Annual,21019,1,East Palo Alto,332.0010696,5800.044906,-122.1513208,37.4726073
62117190,1230 Jervis Ave,2900.02,,,"$200,000.00 ",0,1,0,Single Family Residence,7,62,19,0,184449,282,,5/25/2007,2017,"$500,000 ",,"$700,000 ",,"$700,000 ",Annual,21019,1,East Palo Alto,281.8094011,2888.831377,-122.1512726,37.47270273
62117200,1234 Jervis Ave,2865.92,,,"$127,597.00 ",0,1,0,Single Family Residence,7,62,20,0,184448,281.42,,5/25/2007,2017,"$127,597 ",,"$255,194 ","$7,000 ","$248,194 ",Annual,21019,1,East Palo Alto,282.0418911,2902.337226,-122.1512398,37.47276612
62117210,1238 Jervis Ave,5418.91,,,"$415,094.00 ",0,1,0,Single Family Residence,7,62,21,0,184447,325.44,,5/25/2007,2017,"$231,749 ",,"$646,843 ",,"$646,843 ",Annual,21019,1,East Palo Alto,331.7178091,5783.59635,-122.1511917,37.47286152
62117220,1244 Jervis Ave,5946.36,1,,"$169,965.00 ",0,1,0,Single Family Residence,7,62,22,0,184446,334.53,,5/25/2007,2017,"$169,965 ",,"$339,930 ","$5,600 ","$334,330 ",Annual,21019,1,East Palo Alto,332.0806511,5804.64625,-122.1511272,37.4729887
62117230,1250 Jervis Ave,2856.91,,,"$110,389.00 ",0,1,0,Single Family Residence,7,62,23,0,184445,281.26,,5/25/2007,2017,"$110,389 ",,"$220,778 ","$7,000 ","$213,778 ",Annual,21019,1,East Palo Alto,281.5750772,2875.172451,-122.151078,37.47308368
62117240,1256 Jervis Ave,8205.43,1,1,"$106,382.00 ",0,1,0,Single Family Residence,7,62,24,0,184444,376.08,,5/25/2007,2017,"$91,824 ",,"$198,206 ",,"$198,206 ",Annual,21019,1,East Palo Alto,374.8681004,8133.367696,-122.1510065,37.47320231
62117250,1024 Alberni St,7148.75,1,,"$225,933.00 ",0,1,0,Single Family Residence,7,62,25,0,184443,366.75,,5/25/2007,2017,"$225,933 ",,"$451,866 ","$7,000 ","$444,866 ",Annual,21019,1,East Palo Alto,370.6103597,7467.858754,-122.1509892,37.47346442
62117260,1028 Alberni St,3625.1,,,"$212,207.00 ",0,1,0,Single Family Residence,7,62,26,0,184442,309,,5/25/2007,2017,"$212,207 ",,"$424,414 ",,"$424,414 ",Annual,21019,1,East Palo Alto,306.8321955,3598.661722,-122.1508327,37.47344538
62117270,1032 Alberni St,7273.83,1,,"$82,792.00 ",0,1,0,Single Family Residence,7,62,27,0,184441,368.77,,5/25/2007,2017,"$154,545 ",,"$237,337 ",,"$237,337 ",Annual,21019,1,East Palo Alto,365.9042898,7151.18667,-122.150683,37.47342203
62117290,1205 Laurel Ave,6865.45,1,,"$30,837.00 ",1,1,1,Single Family Residence,7,62,29,0,184440,347.06,,5/25/2007,2017,"$9,491 ",,"$40,328 ",,"$40,328 ",Annual,21019,1,East Palo Alto,346.5578286,6684.015985,-122.1510938,37.47198729
62117300,1003 Newbridge St,6816.37,1,,"$162,090.00 ",0,1,0,Single Family Residence,7,62,30,0,184439,345.55,,5/25/2007,2017,"$162,090 ",,"$324,180 ","$7,000 ","$317,180 ",Annual,21019,1,East Palo Alto,348.6723054,6866.353868,-122.1516508,37.47216806
62118010,2399 Menalto Ave,6195.75,1,,"$53,178.00 ",0,1,0,Single Family Residence,8,62,1,0,184437,323.92,,5/25/2007,2017,"$44,596 ",,"$97,774 ",,"$97,774 ",Annual,21019,1,East Palo Alto,321.3076097,6033.304499,-122.1496072,37.47335741
